ages   ,list_price            ,num_reviews ,piece_count ,play_star_rating ,set_id  ,review_difficulty ,set_name                                                  ,star_rating ,theme_name                            ,val_star_rating ,country
8-May  ,  73.139              ,          1 ,        266 ,             5   ,  10745 ,Challenging       ,Florida 500 Final Race                                    ,        5   ,Juniors                               ,            5   ,FI
7-Apr  ,  48.739              ,          2 ,        191 ,             5   ,  10744 ,Average           ,Thunder Hollow Crazy 8 Race                               ,        5   ,Juniors                               ,            4.5 ,FI
7-Apr  ,  42.638999999999996  ,          1 ,        151 ,             5   ,  10753 ,Easy              ,The Joker™ Batcave Attack                                 ,        5   ,Juniors                               ,            5   ,FI
7-Apr  ,  42.638999999999996  ,          2 ,        175 ,             5   ,  10734 ,                  ,Demolition Site                                           ,        5   ,Juniors                               ,            4   ,FI
7-Apr  ,  36.539              ,          2 ,        116 ,             5   ,  10743 ,Easy              ,Smokey's Garage                                           ,        4.5 ,Juniors                               ,            5   ,FI
7-Apr  ,  36.539              ,          3 ,         94 ,             4.7 ,  10736 ,Average           ,Anna & Elsa's Frozen Playground                           ,        4.7 ,Juniors                               ,            4.7 ,FI
7-Apr  ,  32.879              ,          1 ,        125 ,             5   ,  10754 ,                  ,Spider-Man vs. Scorpion Street Showdown                   ,        4   ,Juniors                               ,            4   ,FI
7-Apr  ,  30.439              ,            ,        115 ,                 ,  10749 ,                  ,Mia's Organic Food Market                                 ,            ,Juniors                               ,                ,FI
7-Apr  ,  30.439              ,          2 ,        100 ,             5   ,  10746 ,Easy              ,Mia's Farm Suitcase                                       ,        5   ,Juniors                               ,            4.5 ,FI
7-Apr  ,  30.439              ,          2 ,         95 ,             2.5 ,  10742 ,Easy              ,Willy's Butte Speed Training                              ,        3   ,Juniors                               ,            3   ,FI
7-Apr  ,  30.439              ,            ,        115 ,                 ,  10751 ,                  ,Mountain Police Chase                                     ,            ,Juniors                               ,                ,FI
7-Apr  ,  30.439              ,          2 ,        108 ,             4.5 ,  10739 ,Easy              ,Shark Attack                                              ,        4.5 ,Juniors                               ,            4   ,FI
7-Apr  ,  30.439              ,          1 ,        110 ,                 ,  10740 ,Easy              ,Fire Patrol Suitcase                                      ,        4   ,Juniors                               ,                ,FI
7-Apr  ,  30.439              ,            ,        131 ,                 ,  10755 ,                  ,Zane's Ninja Boat Pursuit                                 ,            ,Juniors                               ,                ,FI
7-Apr  ,  21.899              ,          2 ,         63 ,             4   ,  10737 ,Easy              ,Batman™ vs. Mr. Freeze™                                   ,        4.5 ,Juniors                               ,            4   ,FI
7-Apr  ,  21.899              ,          2 ,         67 ,             5   ,  10738 ,Average           ,Snow White's Forest Cottage                               ,        5   ,Juniors                               ,            5   ,FI
7-Apr  ,  15.799000000000001  ,          2 ,         67 ,             5   ,  10748 ,Very Easy         ,Emma's Pet Party                                          ,        5   ,Juniors                               ,            4   ,FI
7-Apr  ,  15.799000000000001  ,          8 ,         47 ,             3.9 ,  10730 ,Very Easy         ,Lightning McQueen Speed Launcher                          ,        4   ,Juniors                               ,            3.9 ,FI
7-Apr  ,  15.799000000000001  ,          3 ,         62 ,             4.3 ,  10733 ,Easy              ,Mater's Junkyard                                          ,        4.7 ,Juniors                               ,            5   ,FI
7-Apr  ,  15.799000000000001  ,          1 ,         75 ,             5   ,  10732 ,                  ,Guido and Luigi's Pit Stop                                ,        5   ,Juniors                               ,            5   ,FI
7-Apr  ,  15.799000000000001  ,          3 ,         59 ,             4.3 ,  10731 ,Easy              ,Cruz Ramirez Race Simulator                               ,        5   ,Juniors                               ,            4.3 ,FI
7-Apr  ,  15.799000000000001  ,            ,         73 ,                 ,  10750 ,                  ,Road Repair Truck                                         ,            ,Juniors                               ,                ,FI
7-Apr  ,  48.739              ,          1 ,        178 ,             5   ,  10761 ,Very Easy         ,The Great Home Escape                                     ,        5   ,Juniors                               ,            4   ,FI
12-Aug , 195.139              ,          3 ,       1019 ,             5   ,  75930 ,Easy              ,Indoraptor Rampage at Lockwood Estate                     ,        5   ,Indoraptor Rampage at Lockwood Estate ,            4.3 ,FI
12-Jul , 121.939              ,          2 ,        577 ,             5   ,  75929 ,Average           ,Carnotaurus Gyrosphere Escape                             ,        5   ,Carnotaurus Gyrosphere Escape         ,            4   ,FI
12-Jul , 103.639              ,            ,        609 ,                 ,  75933 ,                  ,T. rex Transport                                          ,            ,T. rex Transport                      ,                ,FI
12-Jun ,  73.139              ,          4 ,        360 ,             4.8 ,  75932 ,Average           ,Jurassic Park Velociraptor Chase                          ,        5   ,Jurassic Park Velociraptor Chase      ,            4.3 ,FI
12-Jul ,  73.139              ,          2 ,        289 ,             3   ,  75931 ,Easy              ,Dilophosaurus Outpost Attack                              ,        3.5 ,Dilophosaurus Outpost Attack          ,            2.5 ,FI
7-Apr  ,  73.139              ,            ,        150 ,                 ,  10758 ,                  ,T. rex Breakout                                           ,            ,Juniors                               ,                ,FI
12-Jul ,  73.139              ,            ,        397 ,                 ,  75928 ,                  ,Blue's Helicopter Pursuit                                 ,            ,Blue's Helicopter Pursuit             ,                ,FI
12-Jun ,  60.93899999999999   ,          2 ,        222 ,             4.5 ,  75927 ,Average           ,Stygimoloch Breakout                                      ,        5   ,Stygimoloch Breakout                  ,            4.5 ,FI
7-Apr  ,  42.638999999999996  ,            ,         85 ,                 ,  10757 ,                  ,Raptor Rescue Truck                                       ,            ,Juniors                               ,                ,FI
5-Feb  ,  42.638999999999996  ,            ,         22 ,                 ,  10880 ,                  ,T. rex Tower                                              ,            ,DUPLO®                                ,                ,FI
12-Jun ,  36.539              ,          3 ,        126 ,             4.3 ,  75926 ,Easy              ,Pteranodon Chase                                          ,        4.7 ,Pteranodon Chase                      ,            3.7 ,FI
7-Apr  ,  32.879              ,            ,         84 ,                 ,  10756 ,                  ,Pteranodon Escape                                         ,            ,Juniors                               ,                ,FI
10+    ,  30.439              ,          2 ,        234 ,             3   ,  41614 ,Easy              ,Owen & Blue                                               ,        5   ,BrickHeadz                            ,            4   ,FI
5-Feb  ,  30.439              ,          1 ,         24 ,                 ,  10879 ,                  ,Gentle Giants Petting Zoo                                 ,        5   ,DUPLO®                                ,                ,FI
14+    , 195.139              ,         52 ,       1363 ,             3.2 ,  76105 ,Average           ,The Hulkbuster: Ultron Edition                            ,        3.8 ,Marvel Super Heroes                   ,            4   ,FI
14-Aug , 146.339              ,          8 ,       1004 ,             4.9 ,  76108 ,Average           ,Sanctum Sanctorum Showdown                                ,        5   ,Marvel Super Heroes                   ,            4.9 ,FI
14-Aug , 121.939              ,         18 ,        674 ,             4.8 ,  76107 ,Average           ,Thanos: Ultimate Battle                                   ,        4.6 ,Marvel Super Heroes                   ,            4.2 ,FI
14-Jul ,  60.93899999999999   ,          3 ,        416 ,             3.7 ,  76103 ,Average           ,Corvus Glaive Thresher Attack                             ,        4   ,Marvel Super Heroes                   ,            3.7 ,FI
14-Jul ,  54.83900000000001   ,         13 ,        375 ,             4.7 ,  76104 ,Easy              ,The Hulkbuster Smash-Up                                   ,        4.8 ,Marvel Super Heroes                   ,            4.7 ,FI
12-Jun ,  36.539              ,         10 ,        223 ,             4.4 ,  76102 ,Easy              ,Thor's Weapon Quest                                       ,        4.4 ,Marvel Super Heroes                   ,            4.9 ,FI
12-Jun ,  21.899              ,         13 ,        124 ,             4.2 ,  76101 ,Easy              ,Outrider Dropship Attack                                  ,        4.8 ,Marvel Super Heroes                   ,            4.8 ,FI
10+    ,  15.799000000000001  ,          3 ,        101 ,             4   ,  41604 ,Average           ,Iron Man MK50                                             ,        4.7 ,BrickHeadz                            ,            4.5 ,FI
10+    ,  15.799000000000001  ,          2 ,        105 ,             3   ,  41605 ,Easy              ,Thanos                                                    ,        5   ,BrickHeadz                            ,            5   ,FI
10+    ,  15.799000000000001  ,          1 ,        113 ,             5   ,  41606 ,Easy              ,Star-Lord                                                 ,        5   ,BrickHeadz                            ,            5   ,FI
10+    ,  15.799000000000001  ,          1 ,        136 ,                 ,  41607 ,                  ,Gamora                                                    ,        5   ,BrickHeadz                            ,                ,FI
14-Jul ,  91.439              ,          6 ,        492 ,             4.7 ,  76088 ,Average           ,Thor vs. Hulk: Arena Clash                                ,        4.3 ,Marvel Super Heroes                   ,            4   ,FI
14-Jul ,  91.439              ,          7 ,        375 ,             4.1 ,  76078 ,Easy              ,Hulk vs. Red Hulk                                         ,        3.7 ,Marvel Super Heroes                   ,            2.3 ,FI
14-Jul ,  73.139              ,          6 ,        400 ,             4.8 ,  76084 ,Easy              ,The Ultimate Battle for Asgard                            ,        4.3 ,Marvel Super Heroes                   ,            4.5 ,FI
14-Jul ,  60.93899999999999   ,         23 ,        375 ,             4.4 ,  76083 ,Average           ,Beware the Vulture                                        ,        4.6 ,Marvel Super Heroes                   ,            3.9 ,FI
14-Jul ,  54.83900000000001   ,          7 ,        358 ,             4.7 ,  76100 ,Average           ,Royal Talon Fighter Attack                                ,        4.7 ,Marvel Super Heroes                   ,            4.8 ,FI
14-Jul ,  48.739              ,         10 ,        377 ,             4.8 ,  76077 ,Easy              ,Iron Man: Detroit Steel Strikes                           ,        4.6 ,Marvel Super Heroes                   ,            4.3 ,FI
5-Feb  ,  42.638999999999996  ,            ,         38 ,                 ,  10876 ,                  ,Spider-Man & Hulk Adventures                              ,            ,DUPLO®                                ,                ,FI
12-Jun ,  36.539              ,          9 ,        185 ,             3.9 ,  76082 ,Easy              ,ATM Heist Battle                                          ,        3.9 ,Marvel Super Heroes                   ,            4.2 ,FI
12-Jun ,  36.539              ,          6 ,        229 ,             4.4 ,  76099 ,Easy              ,Rhino Face-Off by the Mine                                ,        4.7 ,Marvel Super Heroes                   ,            5   ,FI
12-Jun ,  36.539              ,         10 ,        160 ,             3.9 ,  76076 ,Easy              ,Captain America Jet Pursuit                               ,        3.7 ,Marvel Super Heroes                   ,            3.9 ,FI
7-Apr  ,  32.879              ,          1 ,        125 ,             5   ,  10754 ,                  ,Spider-Man vs. Scorpion Street Showdown                   ,        4   ,Juniors                               ,            4   ,FI
12-May ,  15.799000000000001  ,          2 ,         79 ,             3.5 ,  76091 ,Easy              ,Mighty Micros: Thor vs. Loki                              ,        3.5 ,Marvel Super Heroes                   ,            3   ,FI
12-May ,  15.799000000000001  ,            ,         86 ,                 ,  76090 ,                  ,Mighty Micros: Star-Lord vs. Nebula                       ,            ,Marvel Super Heroes                   ,                ,FI
12-May ,  15.799000000000001  ,            ,         89 ,                 ,  76089 ,                  ,Mighty Micros: Scarlet Spider vs. Sandman                 ,            ,Marvel Super Heroes                   ,                ,FI
10+    , 487.939              ,         38 ,        601 ,             4.4 ,  31313 ,Challenging       ,LEGO® MINDSTORMS® EV3                                     ,        4.3 ,MINDSTORMS®                           ,            3.7 ,FI
21-Oct , 280.5878             ,          1 ,          1 ,             5   ,  45500 ,Average           ,EV3 Intelligent Brick                                     ,        4   ,MINDSTORMS®                           ,            3   ,FI
21-Oct , 158.58780000000004   ,          6 ,          1 ,             4   ,  45501 ,Very Easy         ,EV3 Rechargeable DC Battery                               ,        4.3 ,MINDSTORMS®                           ,            3   ,FI
21-Oct ,  54.8878             ,            ,          1 ,                 ,  45505 ,                  ,EV3 Gyro Sensor                                           ,            ,MINDSTORMS®                           ,                ,FI
10+    ,  54.8878             ,          4 ,          1 ,             3   ,  45504 ,Challenging       ,EV3 Ultrasonic Sensor                                     ,        3.5 ,MINDSTORMS®                           ,            4   ,FI
21-Oct ,  54.8878             ,          1 ,          1 ,             5   ,  45506 ,Very Easy         ,EV3 Color Sensor                                          ,        5   ,MINDSTORMS®                           ,            5   ,FI
21-Oct ,  54.8878             ,            ,          1 ,                 ,  45509 ,                  ,EV3 Infrared Sensor                                       ,            ,MINDSTORMS®                           ,                ,FI
10+    ,  54.8878             ,          3 ,          1 ,             5   ,  45508 ,Average           ,EV3 Infrared Beacon                                       ,        5   ,MINDSTORMS®                           ,            3.3 ,FI
21-Oct ,  42.6878             ,          2 ,          1 ,             5   ,  45502 ,                  ,EV3 Large Servo Motor                                     ,        5   ,MINDSTORMS®                           ,            5   ,FI
8+     ,  36.5878             ,          2 ,          1 ,             5   ,  45517 ,Very Easy         ,Transformer 10V DC                                        ,        4   ,MINDSTORMS®                           ,            2.5 ,FI
21-Oct ,  36.5878             ,          1 ,          1 ,             5   ,  45503 ,Easy              ,EV3 Medium Servo Motor                                    ,        5   ,MINDSTORMS®                           ,                ,FI
